Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 2:57:40 AM

Recipient,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2000-2025,Percentage,Sum total years,Percentage of total
Pakistan,69,298,286,267,76,77,95,142,247,748,748,624,594,729,484,559,735,684,500,526,407,911,1322,1807,726,445,14103,44%,14103,44%
Bangladesh,11,2,,,7,1,184,60,9,,13,85,163,486,204,449,267,208,95,638,27,2,228,14,40,,3192,10%,3192,10%
Myanmar,3,50,9,57,72,20,12,4,13,19,5,277,254,191,71,192,216,113,109,60,4,56,102,4,90,46,2046,6.4%,2046,6.4%
Algeria,10,11,14,,,,66,,,,18,,,,155,243,495,43,54,24,3,,138,186,30,,1489,4.7%,1489,4.7%
Thailand,21,,,,,63,63,,,11,,4,18,27,7,1,78,122,52,96,6,29,177,195,,,969,3.0%,969,3.0%
Iran,64,75,76,79,75,38,49,41,42,42,52,45,28,10,10,7,,,,,,,,,,,734,2.3%,734,2.3%
Venezuela,,,,,,,14,27,41,54,89,8,51,97,78,113,76,,,,,,,30,,,676,2.1%,676,2.1%
Sudan,,3,16,97,16,18,63,28,21,19,30,32,47,45,39,44,18,41,32,,,,,,,,607,1.9%,607,1.9%
Serbia,,,,,,,,,,,,,,,,,,,,,7,,157,278,75,75,592,1.9%,592,1.9%
Nigeria,,,,,,,,,,,190,,,,69,28,37,,,,48,90,35,25,3,,525,1.6%,525,1.6%
Morocco,,,,,,,,,,,227,34,34,,,,,120,75,,,2,6,4,,,502,1.6%,502,1.6%
Egypt,,18,67,88,88,21,,35,35,35,35,,1,1,1,,9,16,16,,,,,,,,464,1.5%,464,1.5%
Tanzania,,,1,46,,,0 ,0 ,,25,,76,114,130,14,20,,2,,,,29,,,,,455,1.4%,455,1.4%
Saudi Arabia,,,,,,,,,36,36,,,,,,35,35,55,76,40,40,65,20,,,,438,1.4%,438,1.4%
Sri Lanka,28,22,4,9,19,29,50,49,67,,5,,,,,,,,1,59,,,,5,,,346,1.1%,346,1.1%
Indonesia,,,,,,,10,3,3,,2,8,10,74,34,32,37,34,10,14,17,2,,,5,,295,0.9%,295,0.9%
Turkiye,10,,7,7,14,14,27,34,34,34,34,34,34,,,,,,,,,,,,,,280,0.9%,280,0.9%
Namibia,,14,,,,,75,,25,5,,,52,9,,,3,34,,,,,,,54,0 ,270,0.9%,270,0.9%
Turkmenistan,,,,,,,,,,,,,,,,,228,16,,,,,,,,,244,0.8%,244,0.8%
Cambodia,,,,,,,,56,,4,,,16,39,,,,,2,1,,29,38,56,,,240,0.8%,240,0.8%
Mauritania,,,17,7,,,,,,,7,,,,,,34,,,25,,,,2,124,,216,0.7%,216,0.7%
Cameroon,,,,,,,,,,,,,9,119,85,,,,,,,,,,,,213,0.7%,213,0.7%
Uzbekistan,,,,,,,,,,,,,,,16,,,,117,,,,,,47,32,212,0.7%,212,0.7%
Zambia,39,,,,,,24,5,2,,,,51,,,,33,33,,,2,,,,,,187,0.6%,187,0.6%
United Arab Emirates,,,,,,,,,,,,,,15,15,15,15,37,46,12,19,,,,,,174,0.5%,174,0.5%
Ethiopia,,,,,,,,,,,,,2,50,2,,,,4,4,25,6,43,,,,136,0.4%,136,0.4%
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,130,130,0.4%,130,0.4%
Ghana,,2,,,2,,,14,,6,2,56,,22,,13,8,,,,,,,2,,,128,0.4%,128,0.4%
Qatar,,,,,,,,,,,,,,,,,,31,94,,,,,,,,126,0.4%,126,0.4%
Laos,,,,,,,,,7,,,,16,16,,1,,2,66,9,,,,3,,,120,0.4%,120,0.4%
Malaysia,,,,,,,,,,5,,,,,,,,,,28,,55,28,,,,115,0.4%,115,0.4%
Iraq,,,,,20,,,,,,,,,,,43,43,,,,,,,,8,,114,0.4%,114,0.4%
Kuwait,34,17,22,23,,,,,,,,,,,,,,,,,,,,,,,96,0.3%,96,0.3%
Chad,,,,,,,,5,2,,16,,,39,,,,,,,,25,,,,4,91,0.3%,91,0.3%
Jordan,,,,,,38,,,,,2,,,,1,,24,,,,,,,11,11,,87,0.3%,87,0.3%
Tajikistan,,,,,,,,,,,,,,,,,,,3,1,,,,,,75,79,0.2%,79,0.2%
Syria,,,,,,,,,,56,15,,,,5,,,,,,,,,,,,76,0.2%,76,0.2%
Zimbabwe,,,,,14,21,21,,,,,,,,,,,,,,,,,20,,,76,0.2%,76,0.2%
Angola,,,,,,,,,,,,,,,,,15,,,16,42,,,,,,73,0.2%,73,0.2%
Kenya,15,,,,,,,11,,,13,,,,7,10,13,,1,,,,,,,,69,0.2%,69,0.2%
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,31,34,65,0.2%,65,0.2%
Mali,7,,,,,,,,,,,,,,,,,5,,,,2,,17,,32,63,0.2%,63,0.2%
Equatorial Guinea,,,,,,,,,,36,,,,,,,,,13,,,0 ,,,12,,61,0.2%,61,0.2%
Bolivia,,,,5,,,,,,,,21,,,20,,5,,2,,,,,,,,52,0.2%,52,0.2%
Rwanda,,,,,,,,8,3,,,,,,,,,1,3,,,,,37,,,51,0.2%,51,0.2%
Senegal,,,,,,,,,,,,,,,,,16,21,,,,,,7,1,,45,0.1%,45,0.1%
Djibouti,,,,,,,,,,,,,,,8,4,5,,,4,,24,,,,,45,0.1%,45,0.1%
Gabon,,,,,7,,1,,,,,,,,,,,,,25,,2,,,5,,40,0.1%,40,0.1%
DR Congo,,,,,,,,,,,,,,,,2,,,,,,,,12,24,,38,0.1%,38,0.1%
Russia,,,,,,,,,,,,,,,,,,,10,5,,5,5,6,,5,35,0.1%,35,0.1%
Cote d'Ivoire,,,,,,,,,,,,,,,,,,4,,,,,6,17,,,27,0.1%,27,0.1%
Nepal,,,,,,2,,,,,,,,,,,9,1,,15,,0 ,,,,,26,0.1%,26,0.1%
Oman,,,4,18,,,,,,,,,,,,,,,,,,,,,,,21,0.1%,21,0.1%
Peru,,,,,,,,,,1,1,,,,,16,,,,,,,,,,,18,0.1%,18,0.1%
Timor-Leste,,,,,,,,,,,18,,,,,,,,,,,,,,,,18,0.1%,18,0.1%
Trinidad and Tobago,,,,,,,,,,,,,,,,16,,,,,,,,,,,16,0.1%,16,0.1%
Malawi,,,,,,,,,,,,,,,,,,,,,,,16,,,,16,0.1%,16,0.1%
Seychelles,,,,,,,,,,,,5,,,10,,,,,,,,,,,,15,0.0%,15,0.0%
African Union**,,,,,,,,,,,,,,,,,,,4,,,3,,6,,,14,0.0%,14,0.0%
Uganda,,,,,,,,,14,,,,,,,,,,,,,1,,,,,14,0.0%,14,0.0%
Sierra Leone,,,,,,,9,,,,,2,,,,1,2,,,,,,,,,,14,0.0%,14,0.0%
Slovakia,,,,,,,,,,,,,,,,,,13,,,,,,,,,13,0.0%,13,0.0%
Kazakhstan,,,,,,,,,,,,,,,,,11,,,,,,,,,2,13,0.0%,13,0.0%
South Sudan,,,,,,,,,,,,,,,12,,,,,,,,,,,,12,0.0%,12,0.0%
Mozambique,,,,,,,,,,,,,,,4,,3,,3,,,,,,,,11,0.0%,11,0.0%
Congo,,,,,,,1,0 ,,1,,,,,,,,,,,,,,,9,,10,0.0%,10,0.0%
Bahrain,,,,,,,,,,,,,,,,,9,,,,,,,,,,9,0.0%,9,0.0%
Ecuador,,,,,,,0 ,,,,8,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Mexico,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,0.0%,6,0.0%
Burundi,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,0.0%,5,0.0%
Belarus,,,,,,,,,,,,,,,,,3,1,1,,,,,,,0 ,5,0.0%,5,0.0%
Niger,,,,,,,,,,1,,,,,,,,3,,,,,,,,,4,0.0%,4,0.0%
Benin,,,,,,,,,,,0 ,,,,,,,,,,,,3,,0 ,,4,0.0%,4,0.0%
Guyana,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,0.0%,3,0.0%
Australia,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,0.0%,2,0.0%
Central African Republic,,,,,,,,,,,,,,,,,,,2,,,1,,,,,2,0.0%,2,0.0%
United Wa State (Myanmar)*,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,0.0%,2,0.0%
Somalia,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,0.0%,2,0.0%
Afghanistan,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,0.0%,2,0.0%
Argentina,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Guinea,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,0.0%,1,0.0%
Papua New Guinea,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,0 ,0.0%,0 ,0.0%
Bahamas,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,0 ,0.0%,0 ,0.0%
Total imports from China,309,510,524,701,408,341,769,520,598,1138,1531,1308,1499,2100,1353,1841,2480,1643,1391,1601,645,1342,2323,2745,1294,880,31795,100%,31795,

