Transfers of major conventional arms from China   to All countries . Deals with deliveries made for the year range '2000' to '2025' 
A '?' in a column indicates uncertain data. The 'Deliveries in the Year Range' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 2:55:04 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Deliveries in the Year Range, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Afghanistan,China,2017,?,10,?,Tiger,armoured personnel carrier,10,,2017,New,,0.15,1.5,1.5
African Union**,China,2022,?,43,?,CSK-141,armoured personnel carrier,43,?,2023,New,Aid; for African Union peacekeeping forces,0.15,6.45,6.45
African Union**,China,2020,?,22,?,Tiger,armoured personnel carrier,22,?,2021,New,Aid,0.15,3.3,3.3
African Union**,China,2018,?,32,?,CSK-131,armoured personnel carrier,32,?,2018,New,Aid; for African Union peacekeeping forces,0.14,4.48,4.48
Algeria,China,2020,,2,?,YJ-12B,coastal defence system,2,?,2022,New,,30,60,60
Algeria,China,2020,,50,?,CM-302,anti-ship missile,50,?,2022,New,For YJ-12B coastal defence system,1.5,75,75
Algeria,China,2022,,4,?,WJ-700,armed drone,4,?,2024,New,Possibly $145 m deal,7.5,30,30
Algeria,China,1983,?,3,,Type-363,air-search radar,1,,2002,New,For 3 Djebel Chenoua FAC produced in Algeria,4.75,14.25,4.75
Algeria,China,2000,?,3,,Type-347G,fire-control radar,3,?,2000; 2001; 2002,New,For 3 Djebel Chenoua FAC produced in Algeria,2.5,7.5,7.5
Algeria,China,2007,?,18,?,WA-021/Type-88 155mm,towed gun,18,?,2010,New,,1,18,18
Algeria,China,2013,?,8,?,Type-704,artillery locating radar,8,?,2014,New,BL-904 version; for use with PLZ-45 155mm guns,8,64,64
Algeria,China,2013,,50,?,PCZ-45,armoured supply vehicle,50,?,2014,New,For use with PLZ-45 155mm guns,0.45,22.5,22.5
Algeria,China,2013,?,20,?,WZ-502G,armoured personnel carrier,20,?,2016; 2017,New,ZCY-45 and ZCL-45 command post and GCL-45 reconnaissance versions; for use with PLZ-45 155mm gun,0.35,7,7
Algeria,China,2013,?,50,?,PLZ-45 155mm,self-propelled gun,50,?,2014,New,,1.35,67.5,67.5
Algeria,China,2013,?,3,?,Type-07,armoured personnel carrier,3,?,2014,New,Commnad post version; for use with PLZ-45 155mm guns,0.35,1.05,1.05
Algeria,China,2021,?,24,?,Wing Loong-2,armed drone,2,?,2023,New,,4,96,8
Algeria,China,2017,?,3,?,CH-4B,armed drone,3,?,2018,New,,4,12,12
Algeria,China,2004,?,1,,Daxin,training ship,1,,2006,New,Algerian designation Soummam,65.6,65.6,65.6
Algeria,China,2020,?,10,?,C-802A,anti-ship/land-attack missile,10,?,2023,New,For Type-056A frigate; designation uncertain (could be C-802 version),1,10,10
Algeria,China,1999,?,25,?,C-802,anti-ship missile,25,?,2000; 2001; 2002,New,For Djebel Chenoua missile boats,0.9,22.5,22.5
Algeria,China,2020,?,15,?,FL-3000N,surface-to-air missile,15,?,2023,New,For Type-056A frigate,0.14,2.1,2.1
Algeria,China,2012,?,3,,C-28A,frigate,3,,2015; 2016,New,,225.5,676.5,676.5
Algeria,China,2017,?,5,?,CH-3,armed drone,5,?,2018,New,,2.4,12,12
Algeria,China,2018,?,4,?,DWL-002,air-search system,4,?,2018; 2019,New,,12,48,48
Algeria,China,2017,,10,?,W-86 120mm,mortar,10,?,2018,New,,0.25,2.5,2.5
Algeria,China,2021,?,10,?,CLSI 120mm,mortar,10,?,2022,New,For use on Hafeet-2 APC from UAE,0.25,2.5,2.5
Algeria,China,2019,?,100,?,Red Arrow-12,anti-tank missile,100,?,2020,New,,0.03,3,3
Algeria,China,2017,?,6,?,SM-4 120mm,self-propelled mortar,6,?,2018,New,,0.6,3.6,3.6
Algeria,China,2016,?,18,?,SR-5,multiple rocket launcher,18,?,2017,New,,2.2,39.6,39.6
Algeria,China,2020,,1,?,Type-056,frigate,1,,2023,New,Algerian designation El Moutassadi,166,166,166
Algeria,China,2012,?,50,?,C-802A,anti-ship/land-attack missile,50,?,2015; 2016,New,For C-28A frigates,1,50,50
Algeria,China,2012,?,50,?,FM-90,surface-to-air missile,50,?,2015; 2016,New,For C-28A frigates,0.15,7.5,7.5
Angola,China,2018,,12,,K-8,trainer/combat aircraft,12,?,2020,New,K-8W version,3.5,42,42
Angola,China,2018,,2,,MA-60,transport aircraft,2,,2019,New,,8,16,16
Angola,China,2015,?,10,?,Assaulter,fire-support vehicle,10,?,2016,New,,1.3,13,13
Angola,China,2015,?,5,?,WZ-551,armoured personnel carrier,5,?,2016,New,,0.35,1.75,1.75
Argentina,China,2008,,4,,WZ-551,armoured personnel carrier,4,,2010,New,$2.6 m deal; WZ-551B1 version; for Argentinian UN forces,0.35,1.4,1.4
Australia,China,2020,?,1,,AW-139,helicopter,1,,2021,Second hand,Second-hand; for Australian company for 2-year lease to Australian armed forces as 'Plan Corella' or 'Army Interim Commercial Helicopter',2.4,2.4,2.4
Azerbaijan,China,2025,?,40,?,KLJ-7A,combat aircraft radar,5,?,2025,New,For 40 JF-17 Block-3 combat aircraft from Pakistan,2.5,100,12.5
Azerbaijan,China,2023,?,70,?,HQ-9,surface-to-air missile,70,?,2025,New,For HQ-9/P surface-to-air missile system,1,70,70
Azerbaijan,China,2023,?,1,?,HQ-9,surface-to-air missile system,1,?,2025,New,,47,47,47
Bahamas,China,2016,,2,,Tiger,armoured personnel carrier,2,,2017,New,Part of $1.2 m aid,0.15,0.3,0.3
Bahrain,China,2015,?,4,?,SR-5,multiple rocket launcher,4,?,2016,New,,2.2,8.8,8.8
Bangladesh,China,2015,?,11,?,CJ-6,trainer aircraft,11,?,2016,New,PT-6A version,0.19,2.09,2.09
Bangladesh,China,2004,?,1,,FM-90N,naval surface-to-air missile system,1,,2007,New,For modernization of 1 DW-2000H (Bangabandhu) frigate,7.5,7.5,7.5
Bangladesh,China,2014,,2,,LPC-1,corvette,2,,2017,New,Bangladeshi designation Durjoy; produced in Bangladesh,65.5,131,131
Bangladesh,China,2022,?,4,?,GDF 35mm,anti-aircraft gun,4,?,2024,New,CS/AA3 (PG-99 or GDF-006) version,0.75,3,3
Bangladesh,China,2022,?,2,?,FW-2,air-search/fire-control radar,2,?,2024,New,For use with GDF 35mm anti-aircraft guns,6,12,12
Bangladesh,China,2019,,5,,Padma,patrol boat,5,?,2022; 2023; 2024,New,Produced under licence in Bangladesh,11.6,58,58
Bangladesh,China,2019,,44,?,VT-5,tank,44,,2022,New,,3,132,132
Bangladesh,China,2018,,31,?,WS-22 122mm,multiple rocket launcher,31,?,2018; 2019,New,,0.9,27.9,27.9
Bangladesh,China,2011,,5,,Padma,patrol boat,5,?,2013,New,Produced in Bangladesh,11.6,58,58
Bangladesh,China,2003,?,20,,Type-83 122mm,towed gun,20,,2004,New,,0.35,7,7
Bangladesh,China,2005,?,100,?,PL-7,short-range air-to-air missile,100,?,2005; 2006; 2007,New,For F-7MG combat aircraft,0.09,9,9
Bangladesh,China,2005,?,14,?,PL-9,short-range air-to-air missile,14,,2006; 2008,New,For F-7MG combat aircraft,0.11,1.54,1.54
Bangladesh,China,2005,?,10,?,C-802,anti-ship missile,10,?,2008,New,For 1 Type-053 (Osman or Jianghu) frigate,0.9,9,9
Bangladesh,China,2004,?,20,?,FM-90,surface-to-air missile,20,?,2007,New,For FM-90N SAM system on DW-2000 (Bangabandhu) frigate,0.15,3,3
Bangladesh,China,2010,?,100,?,FM-90,surface-to-air missile,100,?,2011,New,For FM-90 SAM systems,0.15,15,15
Bangladesh,China,2011,?,2,?,SLC-2,artillery locating radar,2,?,2012,New,,8,16,16
Bangladesh,China,2007,,1,,F-7M Airguard,fighter aircraft,1,,2007,New,F-7A(M) or FT-7A version; possibly loan,11,11,11
Bangladesh,China,2011,,44,,Type-90-2M,tank,44,?,2012; 2013,New,BDT12 b ($160 m) deal,3.7,162.8,162.8
Bangladesh,China,2011,?,16,?,C-704,anti-ship missile,16,?,2012; 2013,New,For LPC-1 corvettes,0.4,6.4,6.4
Bangladesh,China,2011,,3,,Type-654,armoured recovery vehicle,3,,2012,New,,1.5,4.5,4.5
Bangladesh,China,2012,,15,?,C-802A,anti-ship/land-attack missile,15,?,2015,New,For Type-056 (Shadhinata) frigates,1,15,15
Bangladesh,China,2012,,30,?,FL-3000N,surface-to-air missile,30,?,2015,New,For Type-056 (Shadhinata) frigates,0.14,4.2,4.2
Bangladesh,China,2004,,250,?,QW-2,portable surface-to-air missile,250,?,2007,New,,0.07,17.5,17.5
Bangladesh,China,2015,?,30,?,FL-3000N,surface-to-air missile,30,?,2019,New,For Type-056 (Shadhinata) frigates,0.14,4.2,4.2
Bangladesh,China,2018,,2,,Type-053H3,frigate,2,,2019,Second hand,Second-hand; Bangladeshi designation Umar Farooq,90,180,180
Bangladesh,China,2012,,2,,Type-056,frigate,2,,2015,New,Bangladeshi designation Shadhinata,166,332,332
Bangladesh,China,2018,,7,,K-8,trainer/combat aircraft,7,,2020,New,K-8W version,3.5,24.5,24.5
Bangladesh,China,2015,,2,,FM-90,surface-to-air missile system,2,,2016,New,,16,32,32
Bangladesh,China,2015,,100,?,FM-90,surface-to-air missile,100,?,2016,New,,0.15,15,15
Bangladesh,China,2013,?,18,?,WS-22 122mm,multiple rocket launcher,18,?,2014; 2015; 2016,New,,0.9,16.2,16.2
Bangladesh,China,2010,?,2,?,FM-90,surface-to-air missile system,2,?,2011,New,,16,32,32
Bangladesh,China,2015,?,15,?,C-802A,anti-ship/land-attack missile,15,?,2019,New,For Type-056 (Shadhinata) frigates,1,15,15
Bangladesh,China,2013,?,60,?,Yu-4,anti-ship torpedo,60,?,2016,New,Probably second-hand; for Type-035G submarines; designation uncertain,0.75,45,45
Bangladesh,China,2013,?,2,,Type-035G,submarine,2,,2016,Second hand but modernized,Second-hand but modernized before delivery; BDT16 b ($203 m) deal; Bangladeshi designation Nabajatra,46.2,92.4,92.4
Bangladesh,China,2015,,2,,Type-056,frigate,2,,2019,New,Bangladeshi designation Shadhinata,166,332,332
Bangladesh,China,2015,?,250,?,FN-6,portable surface-to-air missile,250,?,2017; 2018; 2019; 2020; 2022,New,FN-16 version; possibly incl assembly in Banghladesh,0.08,20,20
Bangladesh,China,2000,?,21,?,HN-5A,portable surface-to-air missile,21,,2001,New,HN-5JA1 version,0.05,1.05,1.05
Bangladesh,China,2000,?,114,?,Red Arrow-8,anti-tank missile,114,,2001,New,,0.01,1.14,1.14
